State,ACT_Pptn_17,ACT_Pptn_18,ACT_Pptn_19,ACT_Eng_17,ACT_Eng_18,ACT_Eng_19,ACT_Math_17,ACT_Math_18,ACT_Math_19,ACT_Read_17,ACT_Read_18,ACT_Read_19,ACT_Sci_17,ACT_Sci_18,ACT_Sci_19,ACT_Com_17,ACT_Com_18,ACT_Com_19
National,0.6,0.52,0.48,20.3,20.2,20.1,20.7,20.5,20.4,21.4,21.3,21.2,21.0,20.7,20.6,21.0,20.8,20.7
Alabama,1.0,1.0,1.0,18.9,18.9,18.7,18.4,18.3,18.1,19.7,19.6,19.5,19.4,19.0,18.8,19.2,19.1,18.9
Alaska,0.65,0.33,0.38,18.7,19.8,18.9,19.8,20.6,19.9,20.4,21.6,20.9,19.9,20.7,20.2,19.8,20.8,20.1
Arizona,0.62,0.66,0.73,18.6,18.2,17.9,19.8,19.4,19.2,20.1,19.5,19.3,19.8,19.2,19.0,19.7,19.2,19.0
Arkansas,1.0,1.0,1.0,18.9,19.1,19.0,19.0,18.9,18.7,19.7,19.7,19.6,19.5,19.4,19.2,19.4,19.4,19.3
California,0.31,0.27,0.23,22.5,22.5,22.4,22.7,22.5,22.3,23.1,23.0,23.0,22.2,22.1,22.2,22.8,22.7,22.6
Colorado,1.0,0.3,0.27,20.1,23.9,23.8,20.3,23.2,23.3,21.2,24.4,24.3,20.9,23.5,23.4,20.8,23.9,23.8
Connecticut,0.31,0.26,0.22,25.5,26.0,25.9,24.6,24.8,24.7,25.6,26.1,26.1,24.6,24.9,24.8,25.2,25.6,25.5
Delaware,0.18,0.17,0.13,24.1,23.7,23.9,23.4,23.1,23.1,24.8,24.5,24.7,23.6,23.4,23.5,24.1,23.8,24.0
District of Columbia,0.32,0.32,0.32,24.4,23.7,23.6,23.5,22.7,22.7,24.9,24.4,24.4,23.5,23.0,22.9,24.2,23.6,23.5
Florida,0.73,0.66,0.54,19.0,19.2,19.5,19.4,19.3,19.5,21.0,21.1,21.2,19.4,19.5,19.7,19.8,19.9,20.1
Georgia,0.55,0.53,0.49,21.0,20.9,20.9,20.9,20.7,20.7,22.0,22.1,22.2,21.3,21.2,21.2,21.4,21.4,21.4
Hawaii,0.9,0.89,0.8,17.8,18.2,17.9,19.2,19.0,19.2,19.2,19.1,19.2,19.3,19.0,19.2,19.0,18.9,19.0
Idaho,0.38,0.36,0.31,21.9,21.9,21.9,21.8,21.6,21.9,23.0,23.2,23.4,22.1,22.1,22.2,22.3,22.3,22.5
Illinois,0.93,0.43,0.35,21.0,24.1,24.5,21.2,23.4,23.8,21.6,24.2,24.7,21.3,23.4,23.7,21.4,23.9,24.3
Indiana,0.35,0.32,0.29,22.0,21.9,21.7,22.4,22.3,22.3,23.2,23.1,23.1,22.3,22.2,22.2,22.6,22.5,22.5
Iowa,0.67,0.68,0.66,21.2,21.0,20.8,21.3,21.2,21.0,22.6,22.5,22.3,22.1,22.0,21.8,21.9,21.8,21.6
Kansas,0.73,0.71,0.72,21.1,21.0,20.5,21.3,21.1,20.7,22.3,22.3,21.8,21.7,21.5,21.1,21.7,21.6,21.2
Kentucky,1.0,1.0,1.0,19.6,19.9,19.5,19.4,19.7,19.2,20.5,20.8,20.5,20.1,20.1,19.6,20.0,20.2,19.8
