State,SAT_Pptn_19,SAT_Pptn_18,SAT_Pptn_17,SAT_EBRW_19,SAT_EBRW_18,SAT_EBRW_17,SAT_Math_19,SAT_Math_18,SAT_Math_17,SAT_Total_19,SAT_Total_18,SAT_Total_17,SAT_Pptn_mean,SAT_EBRW_mean,SAT_Math_mean,SAT_Total_mean,ACT_Pptn_17,ACT_Pptn_18,ACT_Pptn_19,ACT_Eng_17,ACT_Eng_18,ACT_Eng_19,ACT_Math_17,ACT_Math_18,ACT_Math_19,ACT_Read_17,ACT_Read_18,ACT_Read_19,ACT_Sci_17,ACT_Sci_18,ACT_Sci_19,ACT_Com_17,ACT_Com_18,ACT_Com_19,ACT_Pptn_mean,ACT_Eng_mean,ACT_Math_mean,ACT_Read_mean,ACT_Sci_mean,ACT_Com_mean,Income_17,Income_18,Income_19,Income_mean
Alabama,0.07,0.06,0.05,583.0,595.0,593.0,560.0,571.0,572.0,1143.0,1166.0,1165.0,0.06,590.33,567.67,1158.0,1.0,1.0,1.0,18.9,18.9,18.7,18.4,18.3,18.1,19.7,19.6,19.5,19.4,19.0,18.8,19.2,19.1,18.9,1.0,18.83,18.27,19.6,19.07,19.07,51113,49936,56200,52416.33
Alaska,0.41,0.43,0.38,556.0,562.0,547.0,541.0,544.0,533.0,1097.0,1106.0,1080.0,0.41,555.0,539.33,1094.33,0.65,0.33,0.38,18.7,19.8,18.9,19.8,20.6,19.9,20.4,21.6,20.9,19.9,20.7,20.2,19.8,20.8,20.1,0.45,19.13,20.1,20.97,20.27,20.23,72231,68734,78394,73119.67
Arizona,0.31,0.29,0.3,569.0,577.0,563.0,565.0,572.0,553.0,1134.0,1149.0,1116.0,0.3,569.67,563.33,1133.0,0.62,0.66,0.73,18.6,18.2,17.9,19.8,19.4,19.2,20.1,19.5,19.3,19.8,19.2,19.0,19.7,19.2,19.0,0.67,18.23,19.47,19.63,19.33,19.3,61125,62283,70674,64694.0
Arkansas,0.06,0.05,0.03,582.0,592.0,614.0,559.0,576.0,594.0,1141.0,1169.0,1208.0,0.05,596.0,576.33,1172.67,1.0,1.0,1.0,18.9,19.1,19.0,19.0,18.9,18.7,19.7,19.7,19.6,19.5,19.4,19.2,19.4,19.4,19.3,1.0,19.0,18.87,19.67,19.37,19.37,48829,49781,54539,51049.67
California,0.63,0.6,0.53,534.0,540.0,531.0,531.0,536.0,524.0,1065.0,1076.0,1055.0,0.59,535.0,530.33,1065.33,0.31,0.27,0.23,22.5,22.5,22.4,22.7,22.5,22.3,23.1,23.0,23.0,22.2,22.1,22.2,22.8,22.7,22.6,0.27,22.47,22.5,23.03,22.17,22.7,69759,70489,78105,72784.33
Colorado,1.0,1.0,0.11,518.0,519.0,606.0,506.0,506.0,595.0,1024.0,1025.0,1201.0,0.7,547.67,535.67,1083.33,1.0,0.3,0.27,20.1,23.9,23.8,20.3,23.2,23.3,21.2,24.4,24.3,20.9,23.5,23.4,20.8,23.9,23.8,0.52,22.6,22.27,23.3,22.6,22.83,74172,73034,72499,73235.0
Connecticut,1.0,1.0,1.0,529.0,535.0,530.0,516.0,519.0,512.0,1046.0,1053.0,1041.0,1.0,531.33,515.67,1046.67,0.31,0.26,0.22,25.5,26.0,25.9,24.6,24.8,24.7,25.6,26.1,26.1,24.6,24.9,24.8,25.2,25.6,25.5,0.26,25.8,24.7,25.93,24.77,25.43,72780,72812,87291,77627.67
Delaware,1.0,1.0,1.0,499.0,505.0,503.0,486.0,492.0,492.0,985.0,998.0,996.0,1.0,502.33,490.0,993.0,0.18,0.17,0.13,24.1,23.7,23.9,23.4,23.1,23.1,24.8,24.5,24.7,23.6,23.4,23.5,24.1,23.8,24.0,0.16,23.9,23.2,24.67,23.5,23.97,62318,65012,74194,67174.67
District of Columbia,0.94,0.92,1.0,495.0,497.0,482.0,480.0,480.0,468.0,975.0,977.0,950.0,0.95,491.33,476.0,967.33,0.32,0.32,0.32,24.4,23.7,23.6,23.5,22.7,22.7,24.9,24.4,24.4,23.5,23.0,22.9,24.2,23.6,23.5,0.32,23.9,22.97,24.57,23.13,23.77,83382,85750,93111,87414.33
Florida,1.0,0.56,0.83,516.0,550.0,520.0,483.0,549.0,497.0,999.0,1099.0,1017.0,0.8,528.67,509.67,1038.33,0.73,0.66,0.54,19.0,19.2,19.5,19.4,19.3,19.5,21.0,21.1,21.2,19.4,19.5,19.7,19.8,19.9,20.1,0.64,19.23,19.4,21.1,19.53,19.93,53681,54644,58368,55564.33
