State,Participation_19,Participation_18,Participation_17,EBRW_19,EBRW_18,EBRW_17,Math_19,Math_18,Math_17,Total_19,Total_18,Total_17,Participation_mean,EBRW_mean,Math_mean,Total_mean
Alabama,0.07,0.06,0.05,583,595,593,560,571,572,1143,1166,1165,0.06,590.33,567.67,1158.0
Alaska,0.41,0.43,0.38,556,562,547,541,544,533,1097,1106,1080,0.41,555.0,539.33,1094.33
Arizona,0.31,0.29,0.3,569,577,563,565,572,553,1134,1149,1116,0.3,569.67,563.33,1133.0
Arkansas,0.06,0.05,0.03,582,592,614,559,576,594,1141,1169,1208,0.05,596.0,576.33,1172.67
California,0.63,0.6,0.53,534,540,531,531,536,524,1065,1076,1055,0.59,535.0,530.33,1065.33
Colorado,1.0,1.0,0.11,518,519,606,506,506,595,1024,1025,1201,0.7,547.67,535.67,1083.33
Connecticut,1.0,1.0,1.0,529,535,530,516,519,512,1046,1053,1041,1.0,531.33,515.67,1046.67
Delaware,1.0,1.0,1.0,499,505,503,486,492,492,985,998,996,1.0,502.33,490.0,993.0
District of Columbia,0.94,0.92,1.0,495,497,482,480,480,468,975,977,950,0.95,491.33,476.0,967.33
Florida,1.0,0.56,0.83,516,550,520,483,549,497,999,1099,1017,0.8,528.67,509.67,1038.33
Georgia,0.71,0.7,0.61,538,542,535,519,522,515,1058,1064,1050,0.67,538.33,518.67,1057.33
Hawaii,0.54,0.56,0.55,550,480,544,550,530,541,1100,1010,1085,0.55,524.67,540.33,1065.0
Idaho,1.0,1.0,0.93,505,508,513,488,493,493,993,1001,1005,0.98,508.67,491.33,999.67
Illinois,1.0,0.99,0.09,509,513,559,504,506,556,1013,1019,1115,0.69,527.0,522.0,1049.0
Indiana,0.66,0.63,0.63,543,542,542,537,532,532,1080,1074,1074,0.64,542.33,533.67,1076.0
Iowa,0.03,0.03,0.02,622,634,641,622,631,635,1244,1265,1275,0.03,632.33,629.33,1261.33
Kansas,0.04,0.04,0.04,618,633,632,623,631,628,1241,1265,1260,0.04,627.67,627.33,1255.33
Kentucky,0.04,0.04,0.04,620,630,631,612,618,616,1232,1248,1247,0.04,627.0,615.33,1242.33
Louisiana,0.05,0.04,0.04,610,615,611,591,595,586,1200,1210,1198,0.04,612.0,590.67,1202.67
Maine,0.99,0.99,0.95,512,512,513,502,501,499,1013,1013,1012,0.98,512.33,500.67,1012.67
Maryland,0.82,0.76,0.69,535,545,536,523,535,524,1058,1080,1060,0.76,538.67,527.33,1066.0
Massachusetts,0.81,0.8,0.76,559,562,555,561,563,551,1120,1125,1107,0.79,558.67,558.33,1117.33
Michigan,1.0,1.0,1.0,507,511,509,496,499,495,1003,1011,1005,1.0,509.0,496.67,1006.33
Minnesota,0.04,0.04,0.03,636,643,644,648,655,651,1284,1298,1295,0.04,641.0,651.33,1292.33
Mississippi,0.03,0.03,0.02,628,630,634,608,606,607,1237,1236,1242,0.03,630.67,607.0,1238.33
Missouri,0.04,0.04,0.03,622,633,640,615,629,631,1236,1262,1271,0.04,631.67,625.0,1256.33
Montana,0.09,0.1,0.1,603,606,605,596,592,591,1199,1198,1196,0.1,604.67,593.0,1197.67
Nebraska,0.03,0.03,0.03,628,629,629,631,623,625,1260,1252,1253,0.03,628.67,626.33,1255.0
Nevada,0.2,0.23,0.26,580,574,563,576,566,553,1156,1140,1116,0.23,572.33,565.0,1137.33
New Hampshire,0.95,0.96,0.96,533,535,532,526,528,520,1059,1063,1052,0.96,533.33,524.67,1058.0
New Jersey,0.82,0.82,0.7,544,547,530,545,547,526,1090,1094,1056,0.78,540.33,539.33,1080.0
New Mexico,0.18,0.16,0.11,543,552,577,530,540,561,1073,1093,1138,0.15,557.33,543.67,1101.33
New York,0.79,0.79,0.67,531,534,528,533,534,523,1064,1068,1052,0.75,531.0,530.0,1061.33
North Carolina,0.51,0.52,0.49,554,554,546,546,543,535,1100,1098,1081,0.51,551.33,541.33,1093.0
North Dakota,0.02,0.02,0.02,627,640,635,636,643,621,1263,1283,1256,0.02,634.0,633.33,1267.33
Ohio,0.19,0.18,0.12,550,552,578,548,547,570,1097,1099,1149,0.16,560.0,555.0,1115.0
Oklahoma,0.22,0.08,0.07,490,541,530,472,521,517,963,1062,1047,0.12,520.33,503.33,1024.0
Oregon,0.51,0.48,0.43,562,564,560,550,553,548,1112,1117,1108,0.47,562.0,550.33,1112.33
Pennsylvania,0.7,0.7,0.65,545,547,540,537,539,531,1082,1086,1071,0.68,544.0,535.67,1079.67
Rhode Island,1.0,0.97,0.71,503,513,539,492,505,524,995,1018,1062,0.89,518.33,507.0,1025.0
South Carolina,0.68,0.55,0.5,526,547,543,504,523,521,1030,1070,1064,0.58,538.67,516.0,1054.67
South Dakota,0.03,0.03,0.03,633,622,612,635,618,603,1268,1240,1216,0.03,622.33,618.67,1241.33
Tennessee,0.07,0.06,0.05,618,624,623,602,607,604,1220,1231,1228,0.06,621.67,604.33,1226.33
Texas,0.68,0.66,0.62,515,520,513,507,512,507,1022,1032,1020,0.65,516.0,508.67,1024.67
Utah,0.04,0.04,0.03,614,480,624,615,530,614,1230,1010,1238,0.04,572.67,586.33,1159.33
Vermont,0.66,0.64,0.6,560,565,562,546,554,551,1106,1120,1114,0.63,562.33,550.33,1113.33
Virginia,0.68,0.68,0.65,567,567,561,551,550,541,1119,1117,1102,0.67,565.0,547.33,1112.67
Washington,0.7,0.69,0.64,539,543,541,535,538,534,1074,1081,1075,0.68,541.0,535.67,1076.67
West Virginia,0.99,0.28,0.14,483,513,558,460,486,528,943,999,1086,0.47,518.0,491.33,1009.33
Wisconsin,0.03,0.03,0.03,635,641,642,648,653,649,1283,1294,1291,0.03,639.33,650.0,1289.33
Wyoming,0.03,0.03,0.03,623,633,626,615,625,604,1238,1257,1230,0.03,627.33,614.67,1241.67
