State,Income_17,Income_18,Income_19
United States,61372,63179,68703
Alabama,51113,49936,56200
Alaska,72231,68734,78394
Arizona,61125,62283,70674
Arkansas,48829,49781,54539
California,69759,70489,78105
Colorado,74172,73034,72499
Connecticut,72780,72812,87291
Delaware,62318,65012,74194
District of Columbia,83382,85750,93111
Florida,53681,54644,58368
Georgia,57016,55821,56628
Hawaii,73575,80108,88006
Idaho,60208,58728,65988
Illinois,64609,70145,74399
Indiana,58873,59892,66693
Iowa,63481,68718,66054
Kansas,57872,63938,73151
Kentucky,51348,54555,55662
Louisiana,43903,49973,51707
Maine,51664,58663,66546
Maryland,81084,86223,95572
Massachusetts,73227,86345,87707
Michigan,57700,60449,64119
Minnesota,71920,71817,81426
Mississippi,43441,42781,44787
Missouri,56885,61726,60597
Montana,59087,57679,60195
Nebraska,59619,67575,73071
Nevada,56550,61864,70906
New Hampshire,74801,81346,86900
New Jersey,72997,74176,87726
New Mexico,47855,48283,53113
New York,62447,67274,71855
North Carolina,50343,53369,61159
North Dakota,59886,66505,70031
Ohio,59768,61633,64663
Oklahoma,55006,54434,59397
Oregon,64610,69165,74413
Pennsylvania,63173,64524,70582
Rhode Island,66390,62266,70151
South Carolina,54971,57444,62028
South Dakota,56894,59463,64255
Tennessee,55240,56060,56627
Texas,59295,59785,67444
Utah,71319,77067,84523
Vermont,63805,70066,74305
Virginia,71293,77151,81313
Washington,75418,79726,82454
West Virginia,45392,50573,53706
Wisconsin,63451,62629,67355
Wyoming,57837,62539,65134
