Id,PID,MS SubClass,Lot Frontage,Lot Area,Alley,Lot Shape,Utilities,Land Slope,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,SalePrice,have_bsmt,have_fireplace,have_garage,have_pool,have_fence,msz_RL,msz_R_others,msz_others,msz_nan,st_Grvl,st_Pave,st_nan,ld_c_Lvl,ld_c_unLvl,ld_c_nan,lt_c_Corner,lt_c_Inside,lt_c_others,lt_c_nan,nbrhd_pc_50010,nbrhd_pc_50011,nbrhd_pc_50014,nbrhd_nan,cdn_1_Norm,cdn_1_feature,cdn_1_rail,cdn_1_street,cdn_1_nan,cdn_2_Norm,cdn_2_other,cdn_2_nan,bdg_t_Duplex,bdg_t_fam,bdg_t_twnhs,bdg_t_nan,hse_s_1story,hse_s_2story,hse_s_split,hse_s_nan,rf_s_Gable,rf_s_other,rf_s_nan,rf_m_CompShg,rf_m_other,rf_m_nan,ex_1_MetalSd,ex_1_VinylSd,ex_1_cement,ex_1_other,ex_1_wood,ex_1_nan,ex_2_MetalSd,ex_2_VinylSd,ex_2_cement,ex_2_other,ex_2_wood,ex_2_nan,mvt_None,mvt_Stone,mvt_brick,mvt_nan,fdn_CBlock,fdn_PConc,fdn_other,fdn_nan,htg_GasA,htg_other,htg_nan,grge_t_Attchd,grge_t_Detchd,grge_t_other,grge_t_nan,sle_t_Con,sle_t_Oth,sle_t_WD,sle_t_nan
109,533352170,60,,13517,0,3,4,3,6,8,1976,2005,289.0,4,3,3,3,1,6,533.0,1,0.0,192.0,725.0,5,1,5,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,8,0,0,2,2.0,475.0,3,3,3,0,44,0,0,0,0,0,0,0,0,3,2010,130500,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
544,531379050,60,43.0,11492,0,3,4,3,7,5,1996,1997,132.0,4,3,4,3,1,6,637.0,1,0.0,276.0,913.0,5,1,5,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,8,1,3,2,2.0,559.0,3,3,3,0,74,0,0,0,0,0,0,0,0,4,2009,220000,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
153,535304180,20,68.0,7922,0,4,4,3,5,7,1953,2007,0.0,3,4,3,3,1,6,731.0,1,0.0,326.0,1057.0,3,1,5,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,8,0,0,1,1.0,246.0,3,3,3,0,52,0,0,0,0,0,0,0,0,1,2010,109000,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
318,916386060,60,73.0,9802,0,4,4,3,5,5,2006,2007,0.0,3,3,4,3,1,1,0.0,1,0.0,384.0,384.0,4,1,5,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,8,0,0,3,2.0,400.0,3,3,3,100,0,0,0,0,0,0,0,0,0,4,2010,174000,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
255,906425045,50,82.0,14235,0,3,4,3,6,8,1900,1993,0.0,3,3,2,4,1,1,0.0,1,0.0,676.0,676.0,3,1,5,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,8,0,0,1,2.0,484.0,3,3,1,0,59,0,0,0,0,0,0,0,0,3,2010,138500,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
138,535126040,20,137.0,16492,0,3,4,3,6,6,1966,2002,0.0,4,3,3,3,1,5,247.0,3,713.0,557.0,1517.0,5,1,5,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,5,1,4,3,2.0,578.0,3,3,3,0,0,0,0,0,0,0,0,0,0,6,2010,190000,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
2827,908186070,180,35.0,3675,0,4,4,3,6,5,2005,2006,82.0,3,3,4,3,4,6,547.0,1,0.0,0.0,547.0,4,1,5,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,8,0,0,3,2.0,525.0,3,3,3,0,44,0,0,0,0,0,0,0,0,6,2006,140000,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
145,535154050,20,,12160,0,3,4,3,5,5,1959,1959,180.0,3,3,3,3,1,3,1000.0,1,0.0,188.0,1188.0,2,1,5,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,8,0,0,2,2.0,531.0,3,3,3,0,0,0,0,0,0,0,3,0,0,5,2010,142000,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1942,535353130,20,,15783,0,4,4,3,5,5,1952,1952,0.0,3,3,3,3,1,3,292.0,1,0.0,632.0,924.0,3,1,5,924,0,0,924,0.0,0.0,1,0,2,1,3,6,8,0,0,1,1.0,420.0,3,3,3,0,324,0,0,0,0,0,3,1,400,6,2007,112500,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1956,535426130,60,70.0,11606,0,3,4,1,5,5,1969,1969,192.0,3,3,4,3,3,3,650.0,1,0.0,390.0,1040.0,3,1,5,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,8,2,3,1,2.0,504.0,3,3,3,335,0,0,0,0,0,0,0,0,0,9,2007,135000,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
